Analyzer:;PQM-711 (BS0109);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recording start: ;2019-10-17 10:50:00.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recording stop: ;25.10.2019 13:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;(UTC+2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flag:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E - event;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P - PLL no synchronization;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G - GPS no synchronization;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T - time resynchronization;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A - A/D overflow;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;'E';'P';'G';'T';'A';Date      ;Time (UTC+2);THD U L1 avg [%];THD U L2 avg [%];THD U L3 avg [%];U H 1 L1 avg [V];U H 2 L1 avg [V];U H 3 L1 avg [V];U H 4 L1 avg [V];U H 5 L1 avg [V];U H 6 L1 avg [V];U H 7 L1 avg [V];U H 8 L1 avg [V];U H 9 L1 avg [V];U H 10 L1 avg [V];U H 11 L1 avg [V];U H 12 L1 avg [V];U H 13 L1 avg [V];U H 14 L1 avg [V];U H 15 L1 avg [V];U H 16 L1 avg [V];U H 17 L1 avg [V];U H 18 L1 avg [V];U H 19 L1 avg [V];U H 20 L1 avg [V];U H 21 L1 avg [V];U H 22 L1 avg [V];U H 23 L1 avg [V];U H 24 L1 avg [V];U H 25 L1 avg [V];U H 26 L1 avg [V];U H 27 L1 avg [V];U H 28 L1 avg [V];U H 29 L1 avg [V];U H 30 L1 avg [V];U H 31 L1 avg [V];U H 32 L1 avg [V];U H 33 L1 avg [V];U H 34 L1 avg [V];U H 35 L1 avg [V];U H 36 L1 avg [V];U H 37 L1 avg [V];U H 38 L1 avg [V];U H 39 L1 avg [V];U H 40 L1 avg [V];U H 41 L1 avg [V];U H 42 L1 avg [V];U H 43 L1 avg [V];U H 44 L1 avg [V];U H 45 L1 avg [V];U H 46 L1 avg [V];U H 47 L1 avg [V];U H 48 L1 avg [V];U H 49 L1 avg [V];U H 50 L1 avg [V];U H 1 L2 avg [V];U H 2 L2 avg [V];U H 3 L2 avg [V];U H 4 L2 avg [V];U H 5 L2 avg [V];U H 6 L2 avg [V];U H 7 L2 avg [V];U H 8 L2 avg [V];U H 9 L2 avg [V];U H 10 L2 avg [V];U H 11 L2 avg [V];U H 12 L2 avg [V];U H 13 L2 avg [V];U H 14 L2 avg [V];U H 15 L2 avg [V];U H 16 L2 avg [V];U H 17 L2 avg [V];U H 18 L2 avg [V];U H 19 L2 avg [V];U H 20 L2 avg [V];U H 21 L2 avg [V];U H 22 L2 avg [V];U H 23 L2 avg [V];U H 24 L2 avg [V];U H 25 L2 avg [V];U H 26 L2 avg [V];U H 27 L2 avg [V];U H 28 L2 avg [V];U H 29 L2 avg [V];U H 30 L2 avg [V];U H 31 L2 avg [V];U H 32 L2 avg [V];U H 33 L2 avg [V];U H 34 L2 avg [V];U H 35 L2 avg [V];U H 36 L2 avg [V];U H 37 L2 avg [V];U H 38 L2 avg [V];U H 39 L2 avg [V];U H 40 L2 avg [V];U H 41 L2 avg [V];U H 42 L2 avg [V];U H 43 L2 avg [V];U H 44 L2 avg [V];U H 45 L2 avg [V];U H 46 L2 avg [V];U H 47 L2 avg [V];U H 48 L2 avg [V];U H 49 L2 avg [V];U H 50 L2 avg [V];U H 1 L3 avg [V];U H 2 L3 avg [V];U H 3 L3 avg [V];U H 4 L3 avg [V];U H 5 L3 avg [V];U H 6 L3 avg [V];U H 7 L3 avg [V];U H 8 L3 avg [V];U H 9 L3 avg [V];U H 10 L3 avg [V];U H 11 L3 avg [V];U H 12 L3 avg [V];U H 13 L3 avg [V];U H 14 L3 avg [V];U H 15 L3 avg [V];U H 16 L3 avg [V];U H 17 L3 avg [V];U H 18 L3 avg [V];U H 19 L3 avg [V];U H 20 L3 avg [V];U H 21 L3 avg [V];U H 22 L3 avg [V];U H 23 L3 avg [V];U H 24 L3 avg [V];U H 25 L3 avg [V];U H 26 L3 avg [V];U H 27 L3 avg [V];U H 28 L3 avg [V];U H 29 L3 avg [V];U H 30 L3 avg [V];U H 31 L3 avg [V];U H 32 L3 avg [V];U H 33 L3 avg [V];U H 34 L3 avg [V];U H 35 L3 avg [V];U H 36 L3 avg [V];U H 37 L3 avg [V];U H 38 L3 avg [V];U H 39 L3 avg [V];U H 40 L3 avg [V];U H 41 L3 avg [V];U H 42 L3 avg [V];U H 43 L3 avg [V];U H 44 L3 avg [V];U H 45 L3 avg [V];U H 46 L3 avg [V];U H 47 L3 avg [V];U H 48 L3 avg [V];U H 49 L3 avg [V];U H 50 L3 avg [V]
;;   ;   ;   ;   ;   ;17.10.2019;10:50:00.004;1,59;1,55;1,51;235,02;0,0374;0,3113;0,0249;3,0759;0,0872;2,0174;0,0374;0,1992;0,0374;0,3611;0,0374;0,3238;0,0374;0,0747;0,0374;0,1743;0,0498;0,0872;0,0249;0,1121;0,0374;0,0872;0,0125;0,0498;0,0249;0,0125;0,0125;0,0249;0,0125;0,0249;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0249;0;0,0125;0;0,0125;0;0,0125;0;235,37;0,0374;0,274;0,0747;2,9638;0,0249;2,0423;0,0623;0,2242;0,0249;0,3487;0,0374;0,1992;0,0249;0,0996;0,0374;0,1245;0,0249;0,0996;0,0249;0,1121;0,0249;0,1868;0,0249;0,0747;0,0249;0,0623;0,0249;0,0249;0,0125;0,0249;0,0125;0,0249;0,0125;0,0374;0,0125;0,0249;0,0125;0,0125;0,0125;0,0249;0,0125;0,0125;0,0125;0;0,0125;0,0125;0;0,0125;0;235,36;0,0249;0,2117;0,0623;2,8891;0,0249;1,9676;0,0498;0,2242;0,0374;0,386;0,0249;0,2366;0,0249;0,0747;0,0374;0,1868;0,0249;0,1245;0,0249;0,2117;0,0374;0,1743;0,0249;0,0872;0,0249;0,0374;0,0249;0,0125;0,0249;0,0498;0,0249;0,0249;0,0125;0,0374;0,0125;0,0249;0,0125;0,0125;0,0125;0,0249;0,0125;0;0,0125;0,0125;0,0125;0,0249;0;0,0249;0,0125
;;   ;   ;   ;   ;   ;17.10.2019;11:00:00.038;1,54;1,52;1,45;235,26;0,0249;0,3116;0,0249;2,9668;0,0997;1,9197;0,0374;0,1621;0,0249;0,4238;0,0499;0,349;0,0249;0,0499;0,0374;0,2742;0,0499;0,1247;0,0249;0,0748;0,0249;0,0623;0,0125;0,0623;0,0249;0,0249;0,0125;0,0249;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0249;0;0,0125;0;0,0125;0;0,0125;0;235,67;0,0249;0,2867;0,0623;2,9169;0,0374;1,9571;0,0623;0,2493;0,0249;0,4488;0,0374;0,2119;0,0249;0,0873;0,0374;0,1496;0,0249;0,1496;0,0374;0,1745;0,0249;0,1122;0,0249;0,0623;0,0249;0,0499;0,0249;0,0249;0,0125;0,0125;0,0125;0,0249;0,0125;0,0249;0,0125;0,0125;0,0125;0,0125;0,0125;0,0249;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;235,65;0,0249;0,2244;0,0623;2,7923;0,0249;1,8324;0,0499;0,2368;0,0374;0,4737;0,0374;0,2368;0,0249;0,0499;0,0374;0,2119;0,0249;0,1371;0,0374;0,1621;0,0374;0,0873;0,0249;0,0748;0,0249;0,0374;0,0249;0,0249;0,0249;0,0374;0,0249;0,0249;0,0125;0,0374;0,0125;0,0249;0,0125;0,0125;0,0125;0,0249;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0,0125
;;   ;   ;   ;   ;   ;17.10.2019;11:10:00.163;1,58;1,53;1,46;235,1;0,025;0,3368;0,025;3,0565;0,0873;1,9711;0,0374;0,1747;0,0374;0,4242;0,0374;0,3244;0,025;0,0624;0,0374;0,1871;0,0374;0,0998;0,025;0,0624;0,025;0,0624;0,0125;0,0624;0,025;0,0125;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;0;0;0,0125;0;0,0125;0;235,81;0,025;0,2869;0,0624;2,9193;0,0374;1,9961;0,0624;0,237;0,025;0,3992;0,025;0,1622;0,025;0,0749;0,0374;0,1497;0,0374;0,1497;0,025;0,1372;0,025;0,1497;0,025;0,0624;0,025;0,0624;0,0125;0,025;0,0125;0,0125;0,0125;0,025;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;235,78;0,025;0,2121;0,0749;2,7945;0,025;1,9088;0,0499;0,2495;0,0374;0,4741;0,025;0,1871;0,025;0,0749;0,0374;0,1996;0,025;0,0624;0,0374;0,1248;0,0374;0,0873;0,025;0,0624;0,025;0,0499;0,025;0,0374;0,025;0,0374;0,025;0,0125;0,0125;0,0374;0,0125;0,025;0,0125;0,0125;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0,0125
;;   ;x;   ;   ;   ;17.10.2019;11:20:00.167;1,56;1,51;1,45;234,78;0,0249;0,3612;0,0249;3,0763;0,0996;1,8806;0,0249;0,2117;0,0374;0,411;0,0374;0,274;0,0249;0,0623;0,0498;0,1744;0,0374;0,1245;0,0249;0,0747;0,0249;0,0623;0,0125;0,0747;0,0249;0,0125;0,0125;0,0249;0,0125;0,0249;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;0;0;0,0125;0;0,0125;0;235,47;0,0374;0,2865;0,0498;2,9393;0,0374;1,9055;0,0623;0,2865;0,0249;0,3861;0,0374;0,137;0,0249;0,0872;0,0374;0,0872;0,0374;0,1868;0,0249;0,137;0,0249;0,137;0,0249;0,0623;0,0249;0,0623;0,0125;0,0249;0,0125;0,0125;0,0125;0,0249;0,0125;0,0249;0,0125;0,0125;0,0125;0,0125;0,0125;0,0249;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;235,39;0,0249;0,2117;0,0747;2,8023;0,0249;1,8433;0,0498;0,2366;0,0374;0,4733;0,0249;0,137;0,0249;0,0872;0,0374;0,1495;0,0249;0,0623;0,0249;0,137;0,0374;0,1245;0,0249;0,0623;0,0249;0,0374;0,0249;0,0374;0,0249;0,0249;0,0249;0,0125;0,0125;0,0374;0,0125;0,0249;0,0125;0,0125;0,0125;0,0249;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0,0125
;;   ;   ;   ;   ;   ;17.10.2019;11:30:00.168;1,65;1,59;1,5;234,51;0,0249;0,3605;0,0249;3,2573;0,0995;1,9395;0,0249;0,1243;0,0249;0,4351;0,0497;0,2984;0,0249;0,0995;0,0497;0,1989;0,0249;0,1243;0,0373;0,0622;0,0249;0,0622;0,0124;0,087;0,0249;0,0249;0,0249;0,0249;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0;0,0124;0;0;0;0,0124;0;0,0124;0;235,07;0,0249;0,3357;0,0746;3,1081;0,0249;1,9395;0,0622;0,2735;0,0249;0,4103;0,0373;0,1989;0,0249;0,0746;0,0373;0,1119;0,0373;0,1865;0,0249;0,1243;0,0249;0,0995;0,0249;0,0622;0,0249;0,0622;0,0249;0,0124;0,0124;0,0249;0,0124;0,0249;0,0124;0,0373;0,0124;0,0124;0,0124;0,0124;0,0124;0,0249;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0;0,0124;0;235;0,0249;0,2859;0,0746;2,9341;0,0249;1,8276;0,0497;0,2114;0,0373;0,4724;0,0249;0,1865;0,0249;0,087;0,0373;0,2611;0,0249;0,0746;0,0373;0,1243;0,0373;0,1616;0,0249;0,0497;0,0249;0,0373;0,0249;0,0249;0,0249;0,0124;0,0124;0,0249;0,0124;0,0373;0,0124;0,0124;0,0124;0,0249;0,0124;0,0373;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0;0,0124;0,0124
;;   ;   ;   ;x;   ;17.10.2019;11:40:00.059;1,58;1,51;1,41;234,86;0,0249;0,3238;0,0249;3,0634;0,1121;1,9177;0,0249;0,137;0,0249;0,4358;0,0498;0,3985;0,0125;0,0872;0,0623;0,1743;0,0249;0,1121;0,0374;0,0498;0,0249;0,0747;0,0125;0,0747;0,0125;0,0125;0,0125;0,0249;0,0125;0,0125;0,0125;0,0125;0,0125;0,0249;0;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;0,0125;0;0,0125;0;0,0125;0;235,41;0,0374;0,3238;0,0747;2,914;0,0249;1,8804;0,0623;0,2615;0,0249;0,4234;0,0374;0,2491;0,0249;0,0747;0,0374;0,1245;0,0374;0,1992;0,0249;0,1121;0,0249;0,1494;0,0249;0,0623;0,0249;0,0623;0,0249;0,0249;0,0125;0,0249;0,0125;0,0249;0,0125;0,0374;0,0125;0,0125;0,0125;0,0125;0,0125;0,0249;0,0125;0,0249;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;235,4;0,0249;0,2366;0,0747;2,7272;0,0249;1,7558;0,0498;0,2491;0,0374;0,4732;0,0249;0,2491;0,0249;0,0872;0,0374;0,2242;0,0249;0,1121;0,0374;0,1245;0,0374;0,1743;0,0249;0,0498;0,0249;0,0623;0,0249;0,0249;0,0249;0,0249;0,0249;0,0249;0,0125;0,0498;0,0125;0,0249;0,0125;0,0249;0,0125;0,0374;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0,0125
;;   ;   ;   ;   ;   ;17.10.2019;11:50:00.163;1,52;1,43;1,34;234,58;0,0373;0,3485;0,0249;2,7756;0,1245;2,0537;0,0249;0,1618;0,0498;0,4232;0,0498;0,4979;0,0249;0,1494;0,0622;0,224;0,0622;0,0996;0,0249;0,0747;0,0373;0,0871;0,0124;0,0498;0,0249;0,0124;0,0124;0,0249;0,0124;0,0249;0,0124;0,0124;0,0124;0,0124;0,0124;0,0249;0,0124;0,0124;0,0124;0,0124;0;0,0124;0;0,0124;0;0,0124;0;0,0124;0;235,27;0,0249;0,2987;0,0622;2,6387;0,0373;1,9417;0,0622;0,2863;0,0249;0,3858;0,0373;0,2987;0,0249;0,0747;0,0373;0,224;0,0373;0,1494;0,0249;0,1867;0,0249;0,112;0,0249;0,0747;0,0249;0,0871;0,0249;0,0373;0,0124;0,0249;0,0124;0,0249;0,0124;0,0498;0,0124;0,0124;0,0124;0,0124;0,0124;0,0249;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0,0124;0;235,29;0,0249;0,2365;0,0747;2,3898;0,0249;1,8919;0,0498;0,2863;0,0373;0,4232;0,0498;0,3112;0,0498;0,0871;0,0373;0,2987;0,0373;0,2365;0,0373;0,2489;0,0498;0,1867;0,0249;0,0996;0,0249;0,0498;0,0249;0,0622;0,0249;0,0373;0,0249;0,0249;0,0124;0,0498;0,0124;0,0373;0,0124;0,0124;0,0124;0,0373;0,0124;0,0249;0,0124;0,0124;0,0124;0,0124;0;0,0124;0,0124
;;   ;   ;   ;   ;   ;17.10.2019;12:00:00.019;1,53;1,45;1,38;235,2;0,0624;0,3493;0,0624;2,8069;0,1372;2,1457;0,0374;0,1871;0,0499;0,237;0,0499;0,3992;0,0374;0,1248;0,0749;0,1248;0,0749;0,1372;0,025;0,0749;0,0374;0,0624;0,0125;0,0374;0,025;0,0125;0,0125;0,025;0,0125;0,025;0,0125;0,0125;0,0125;0,025;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;0,0125;0;0,0125;0;0,0125;0;235,77;0,0374;0,2745;0,0749;2,6572;0,0374;2,0335;0,0624;0,2869;0,025;0,262;0,0374;0,1996;0,0374;0,0998;0,0374;0,2121;0,0374;0,1622;0,0374;0,1871;0,0374;0,1248;0,025;0,0749;0,025;0,0873;0,025;0,0374;0,0125;0,025;0,0125;0,025;0,0125;0,0499;0,0125;0,0125;0,0125;0,0125;0,0125;0,0374;0,0125;0,0125;0;0,0125;0;0,025;0;0,0125;0;235,87;0,0499;0,2246;0,0749;2,4202;0,0374;2,021;0,0374;0,2745;0,0499;0,3618;0,0624;0,237;0,0749;0,0749;0,0624;0,2495;0,0499;0,3618;0,0624;0,262;0,0624;0,1996;0,0499;0,0624;0,025;0,025;0,025;0,0749;0,025;0,0499;0,025;0,0374;0,025;0,0624;0,0125;0,0499;0,0125;0,0125;0,0125;0,0374;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0;0,0125;0,0125
;;x;   ;   ;   ;x;17.10.2019;12:10:00.073;1,58;1,49;1,42;235,87;0,05;0,3124;0,0375;2,8362;0,1124;2,299;0,025;0,1749;0,0375;0,2999;0,05;0,4248;0,0375;0,1624;0,0875;0,1249;0,0875;0,1;0,025;0,075;0,0375;0,0375;0,0125;0,0375;0,025;0,0125;0,025;0,0375;0,0125;0,025;0,0125;0,0125;0,0125;0,025;0,0125;0,025;0,0125;0;0,0125;0,0125;0;0,0125;0;0,0125;0;0,0125;0;0,0125;0;236,18;0,05;0,2874;0,075;2,6363;0,0375;2,199;0,0625;0,2624;0,0375;0,3748;0,05;0,2374;0,05;0,1124;0,0375;0,2374;0,0375;0,1124;0,05;0,1499;0,0375;0,1124;0,0125;0,0625;0,025;0,0875;0,025;0,0375;0,0125;0,025;0,0125;0,025;0,0125;0,05;0,0125;0,0125;0,0125;0,0125;0,0125;0,0375;0,0125;0,0125;0,0125;0,0125;0;0,025;0;0,0125;0;236,28;0,0625;0,2499;0,075;2,4239;0,05;2,1865;0,0375;0,2624;0,05;0,4373;0,075;0,2749;0,075;0,05;0,0625;0,2374;0,0375;0,2624;0,0625;0,2249;0,0625;0,1749;0,0375;0,075;0,0375;0,025;0,025;0,075;0,025;0,0375;0,025;0,025;0,025;0,05;0,0125;0,0375;0,0125;0,0125;0,0125;0,0375;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0;0,0125;0,0125
;;   ;   ;   ;   ;   ;17.10.2019;12:20:00.096;1,6;1,5;1,4;235,67;0,0375;0,3373;0,0375;2,8862;0,1124;2,2864;0,0125;0,2124;0,0375;0,3498;0,05;0,4873;0,0375;0,1374;0,0875;0,1624;0,075;0,1249;0,025;0,075;0,0375;0,0375;0,0125;0,025;0,0125;0,025;0,0125;0,0375;0,0125;0,0125;0,0125;0,0125;0,0125;0,025;0,0125;0,025;0,0125;0;0,0125;0,0125;0;0,0125;0;0,0125;0;0,0125;0;0,0125;0;236,14;0,0375;0,3124;0,075;2,6738;0,0375;2,174;0,0625;0,2874;0,0375;0,4123;0,0625;0,3248;0,05;0,1124;0,0375;0,2999;0,05;0,1874;0,0625;0,1249;0,0375;0,075;0,0125;0,075;0,025;0,0875;0,025;0,0375;0,0125;0,025;0,025;0,025;0,0125;0,05;0,0125;0,0125;0,0125;0,0125;0,0125;0,025;0,0125;0,0125;0,0125;0,0125;0;0,0125;0;0,0125;0;236,12;0,05;0,2249;0,0875;2,3864;0,05;2,0865;0,0375;0,2124;0,05;0,4498;0,075;0,3248;0,0875;0,075;0,0625;0,3248;0,05;0,3623;0,075;0,3248;0,05;0,0625;0,0375;0,1499;0,025;0,0625;0,0125;0,075;0,0125;0,025;0,025;0,0375;0,025;0,0625;0,0125;0,0125;0,0125;0,025;0,0125;0,0375;0,0125;0,0125;0,0125;0,0125;0,0125;0,0125;0;0,0125;0,0125
